,LocationType,Type,Name,Address,City,Latitude,Longitude
50,Branch,KCP,KCP Pasar Kenari,Jl. Kenari II/8,Jakarta Pusat,-6.19323,106.846644
51,Branch,KCP,KCP Epicentrum Walk,"Epicentrum Walk 2nd Floor W336A & 338A, Jl. Jend. HR. Rasna Said Kav C 17",Jakarta Selatan,-6.218109,106.835183
52,Branch,KK,KK Kantor Kas Plaza Kenari Mas,"Plaza Kenari Mas, Lt. 4 Blok K 37-38, Jl. Kramat Raya No. 101, Jakarta",Jakarta Pusat,-6.191024,106.848555
53,Branch,KCU,KCU WISMA ASIA,"Wisma Asia, Jl. S. Parman Kav. 79",Jakarta Barat,-6.189065,106.797371
54,Branch,KBNP,KBNP Atrium Senen,"Basement, Jl. Senen Raya No. 135, RW 2, Senen, Jakarta",Jakarta Pusat,-6.176618,106.841154
55,Branch,KCU,KCU SURYOPRANOTO,Jl. Suryopranoto 40,Jakarta Pusat,-6.170264,106.815584
56,Branch,KCP,KCP Ambasador,"Mal & Apartemen Ambasador No. R.18 Lantai Dasar, Jl. Prof Dr Satrio, Karet Kuningan ? Setiabudi",Jakarta Selatan,-6.22406,106.826843
57,Branch,KCP,KCP Kyai Caringin,Jl. Balikpapan No. 21 A-B,Jakarta Pusat,-6.17084,106.81212
58,Branch,KCP,KCP Wisma Slipi,"Gedung Wisma Slipi Lantai 1, Jl. Letjen S. Parman Kav. 12 Slipi",Jakarta Barat,-6.186753,106.796341
59,Branch,KCP,KCP Harmoni Plaza,"Ruko Harmoni Plaza Blok B No. 26-27, Jl. Suryopranoto 2",Jakarta Pusat,-6.168585,106.819354
60,Branch,KCP,KCP Senen,Pusat Grosir Senen Jaya Blok A8-9 Lantai 2,Jakarta Pusat,-6.175984,106.842361
61,Branch,KCP,KCP Menara Mulia,"Gedung Menara Mulia Lt. Dasar, Jl. Gatot Subroto Kav. 9-11",Jakarta Selatan,-6.224594,106.816808
62,Branch,KCP,KCP Tomang Raya,Jl. Tomang Raya 64,Jakarta Barat,-6.17515,106.803936
63,Branch,KCP,KCP Graha Paramita,"Gdg Graha Paramita Lobby Depan, Jl. Denpasar Raya Blok D-2",Jakarta Selatan,-6.224254,106.831414
64,Branch,KCP,KCP Atrium,Ruko Atrium Blok E No. 12-13,Jakarta Pusat,-6.174119,106.840893
65,Branch,KCP,KCP GAMA,"Gama Tower Lt. Dasar Unit B, Jl. HR Rasuna Said Kav. C-22, Karet Kuningan",Jakarta Selatan,-6.224657,106.833642
66,Branch,KCP,KCP Duta Merlin,"Komp. Duta Merlin Blok A No. 24-25, Jl. Gajah Mada 3-5",Jakarta Pusat,-6.166061,106.82005
